dataset,profile_name,model_type,mode,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,mean_baseline_acc,mean_defended_acc,mean_accuracy_drop,mean_defended_f1_macro,mean_mse,mean_mae,mean_pearson_r,num_seeds,source_file
uci_har,adaptive_sensitivity_only,mlp,fixed_attacker,0.4,4.0,1.0,0.0,False,0.8061305282207895,0.2618482072163782,0.5442823210044113,0.18796655608607823,0.6887854412687854,0.3792534430075097,0.31668032627367365,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_sensitivity_only,mlp,retrain_attacker,0.4,4.0,1.0,0.0,False,0.27044451985069556,0.7013912453342382,-0.4309467254835426,0.6856108252626681,0.6887854412687854,0.3792534430075097,0.31668032627367365,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_traffic_only,lstm,fixed_attacker,0.4,4.0,0.0,1.0,False,0.6982241827847528,0.4065151001017984,0.2917090826829544,0.3321852194632508,0.8064840758620475,0.41259989360715393,0.29007255924893155,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_traffic_only,lstm,retrain_attacker,0.4,4.0,0.0,1.0,False,0.4043660219432191,0.6293405723334465,-0.22497455039022732,0.567457039874339,0.8064840758620475,0.41259989360715393,0.29007255924893155,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_traffic_only,mlp,fixed_attacker,0.4,4.0,0.0,1.0,False,0.8061305282207895,0.2526863476982242,0.5534441805225653,0.17890379756364827,0.8064840758620475,0.41259989360715393,0.29007255924893155,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_traffic_only,mlp,retrain_attacker,0.4,4.0,0.0,1.0,False,0.2646759416355616,0.6948309014817329,-0.4301549598461712,0.6791859782435554,0.8064840758620475,0.41259989360715393,0.29007255924893155,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_edge_cap_on,lstm,fixed_attacker,0.4,4.0,0.5,0.5,True,0.6982241827847528,0.40945594389774903,0.2887682388870037,0.334757548525197,0.7143550544149934,0.39118095896013644,0.31015652944347,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_edge_cap_on,lstm,retrain_attacker,0.4,4.0,0.5,0.5,True,0.3947517249179957,0.643366135052596,-0.2486144101346001,0.6088533636535771,0.7143550544149934,0.39118095896013644,0.31015652944347,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_edge_cap_on,mlp,fixed_attacker,0.4,4.0,0.5,0.5,True,0.8061305282207895,0.25766316027598685,0.5484673679448027,0.18371026777985663,0.7143550544149934,0.39118095896013644,0.31015652944347,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_edge_cap_on,mlp,retrain_attacker,0.4,4.0,0.5,0.5,True,0.2658070354032349,0.7007125890736342,-0.43490555367039924,0.6850002320360419,0.7143550544149934,0.39118095896013644,0.31015652944347,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
